CustomerID,AddressID,AddressType,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode
30018,9,Shipping,8713 Yosemite Ct.,NULL,Bothell,Washington,United States,98011
29545,11,Shipping,1318 Lasalle Street,NULL,Bothell,Washington,United States,98011
29954,25,Shipping,9178 Jumping St.,NULL,Dallas,Texas,United States,75201
29897,28,Shipping,9228 Via Del Sol,NULL,Phoenix,Arizona,United States,85004
29503,32,Shipping,26910 Indela Road,NULL,Montreal,Quebec,Canada,H1Y 2H5
29559,185,Shipping,2681 Eagle Peak,NULL,Bellevue,Washington,United States,98004
29816,297,Shipping,7943 Walnut Ave,NULL,Renton,Washington,United States,98055
29770,445,Main Office,6388 Lake City Way,NULL,Burnaby,British Columbia,Canada,V5A 3A6
29813,446,Main Office,52560 Free Street,NULL,Toronto,Ontario,Canada,M4B 1V7
29627,447,Main Office,22580 Free Street,NULL,Toronto,Ontario,Canada,M4B 1V7
29567,448,Main Office,2575 Bloor Street East,NULL,Toronto,Ontario,Canada,M4B 1V6
29807,449,Main Office,Station E,NULL,Chalk Riber,Ontario,Canada,K0J 1J0
29959,450,Main Office,575 Rue St Amable,NULL,Quebec,Quebec,Canada,G1R
29934,451,Main Office,2512-4th Ave Sw,NULL,Calgary,Alberta,Canada,T2P 2G8
29803,452,Main Office,55 Lakeshore Blvd East,NULL,Toronto,Ontario,Canada,M4B 1V6
29964,453,Main Office,6333 Cote Vertu,NULL,Montreal,Quebec,Canada,H1Y 2H7
29928,454,Main Office,3255 Front Street West,NULL,Toronto,Ontario,Canada,M4B 1V6
29797,455,Main Office,2550 Signet Drive,NULL,Weston,Ontario,Canada,M9V 4W3
29699,456,Main Office,6777 Kingsway,NULL,Burnaby,British Columbia,Canada,V5H 3Z7
29596,458,Main Office,600 Slater Street,NULL,Ottawa,Ontario,Canada,K4B 1S2
29705,459,Main Office,25575 The Queensway,NULL,Etobicoke,Ontario,Canada,M9W 3P3
29918,460,Main Office,2521 McPherson Street,NULL,Markham,Ontario,Canada,L3S 3K2
29677,461,Main Office,2560 Bay Street,NULL,Toronto,Ontario,Canada,M4B 1V7
29946,462,Main Office,630 University Avenue,NULL,Toronto,Ontario,Canada,M4B 1V7
29950,463,Main Office,992 St Clair Ave East,NULL,Toronto,Ontario,Canada,M4B 1V7
30067,464,Main Office,"99, Rue Saint-pierre",NULL,Pnot-Rouge,Quebec,Canada,J1E 2T7
29671,465,Main Office,25245 Rue Sherbrooke Ouest,NULL,Montreal,Quebec,Canada,H1Y 2H5
29794,466,Main Office,655-4th Ave S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8
29541,467,Main Office,25900-700-9th Ave S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8
29666,468,Main Office,Po Box 83270,NULL,Vancouver,British Columbia,Canada,V7L 4J4
29629,469,Main Office,400-25155 West Pender St,NULL,Vancouver,British Columbia,Canada,V7L 4J4
29639,470,Main Office,2511 Baker Road,NULL,Toronto,Ontario,Canada,M4B 1V7
29577,471,Main Office,770 Notre Datme Quest Bureau 800,NULL,Montreal,Quebec,Canada,H1Y 2H7
29711,472,Main Office,250551 Shellbridge Way,NULL,Richmond,British Columbia,Canada,V6B 3P7
29714,473,Main Office,595 Burning Street,NULL,Vancouver,British Columbia,Canada,V7L 4J4
29939,475,Main Office,2512-410th Avenue S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8
29892,476,Main Office,258 King Street East,NULL,Toronto,Ontario,Canada,M4B 1V7
29988,478,Main Office,2545 King Street West,NULL,Toronto,Ontario,Canada,M4B 1V7
29539,480,Main Office,25 First Canadian Place,NULL,Toronto,Ontario,Canada,M4B 1V5
29876,481,Main Office,65 Gamelin Street,NULL,Hull,Quebec,Canada,8Y
29994,482,Main Office,2500 University Avenue,NULL,Toronto,Ontario,Canada,M4B 1V5
29881,483,Main Office,955 Green Valley Crescent,NULL,Ottawa,Ontario,Canada,K4B 1S1
29870,484,Main Office,2510 Crew Court,NULL,Montreal,Quebec,Canada,H1Y 2H8
30000,485,Main Office,"9900-6400 Boul, Taschereau",NULL,Brossard,Quebec,Canada,J4Z 1R4
30098,486,Main Office,600 Boul. Rene-levesque Ouest,NULL,Montreal,Quebec,Canada,H1Y 2H7
29864,487,Main Office,9259 - 1110th Avenue Sw,NULL,Calgary,Alberta,Canada,T2P 2G8
29608,488,Main Office,45259 Canada Way,NULL,Burnaby,British Columbia,Canada,V5G 4S4
30093,489,Main Office,9960 King Street E.,NULL,Toronto,Ontario,Canada,M4B 1V5
29780,490,Main Office,9979 Bayview Drive,NULL,Barrie,Ontario,Canada,L4N
29625,491,Main Office,20225 Lansing Ave,NULL,Montreal,Quebec,Canada,H1Y 2H7
30087,492,Main Office,"99954 Boul. Laurier, Local 060, Place",NULL,Sainte-Foy,Quebec,Canada,G1W
29692,494,Main Office,Box 99354 300 Union Street,NULL,Saint John,Brunswick,Canada,E2P 1E3
29530,495,Main Office,Suite 800 2530 Slater Street,NULL,Ottawa,Ontario,Canada,K4B 1T7
30021,496,Main Office,Suite 500 995 W. 11th Avenue,NULL,Mississauga,Ontario,Canada,L5A 1H6
29698,497,Main Office,#9900 2700 Production Way,NULL,Burnaby,British Columbia,Canada,V5A 4X1
29548,498,Main Office,25537 Hillside Avenue,NULL,Victoria,British Columbia,Canada,V8V
30115,499,Main Office,Suite 2502 410 Albert Street,NULL,Waterloo,Ontario,Canada,N2V
29558,500,Main Office,5700 Explorer Drive,NULL,Mississauga,Ontario,Canada,L4W 5J3
29789,501,Main Office,965 De La Gauchetiere West,NULL,Montreal,Quebec,Canada,H1Y 2H8
29910,502,Main Office,No. 25400 10665 Jasper Avenue,NULL,Edmonton,Alberta,Canada,T5
29620,503,Main Office,P.O. Box 44000,NULL,Winnipeg,Manitoba,Canada,R3
29515,504,Main Office,Suite 99320 255 - 510th Avenue S.W.,NULL,Calgary,Alberta,Canada,T2P 2G8
29905,505,Main Office,"6400, 888 - 3rd Avenue",NULL,Calgary,Alberta,Canada,T2P 2G8
30053,507,Main Office,975 Princess Street,NULL,Kingston,Ontario,Canada,7L
29900,508,Main Office,2900 - 25055 Dunning Street,NULL,Vancouver,British Columbia,Canada,V7L 4J4
29680,509,Main Office,Suite 25800 3401 - 10810th Avenue,NULL,Surrey,British Columbia,Canada,V3T 4W3
30058,510,Main Office,750 Philip Street,NULL,Waterloo,Ontario,Canada,N2V
29852,511,Main Office,"Bureau 9900 825, Avenue Querbes",NULL,Outremont,Quebec,Canada,H1Y 2G5
29527,512,Main Office,700 Bureau Road,NULL,Montreal,Quebec,Canada,H1Y 2H7
29557,513,Main Office,"253711 Mayfield Place, Unit 150",NULL,Richmond,British Columbia,Canada,V6B 3P7
29576,514,Main Office,63 West Beaver Creek,NULL,Richmond Hill,Ontario,Canada,L4E 3M5
29879,515,Main Office,9900 Ronson Drive,NULL,Etobicoke,Ontario,Canada,M9W 3P3
29601,516,Main Office,251 Indell Lane,NULL,Brampton,Ontario,Canada,L6W 2T7
29734,517,Main Office,2573 Dufferin Street,NULL,Toronto,Ontario,Canada,M4B 1V5
29603,518,Main Office,995 Crescent,NULL,Richmond Hill,Ontario,Canada,L4E 3M5
29544,519,Main Office,2500-622 5th Ave Sw,NULL,Calgary,Alberta,Canada,T2P 2G8
29740,520,Main Office,6700 Boul Taschereau,NULL,Brossard,Quebec,Canada,J4Z 1C5
30083,521,Main Office,55 Standish Court,NULL,Mississauga,Ontario,Canada,L5B 3V4
29766,522,Main Office,"43251 Viking Way, Unit 130",NULL,Richmond,British Columbia,Canada,V6B 3P7
30042,523,Main Office,46990 Viking Way,NULL,Richmond,British Columbia,Canada,V6B 3P7
29895,524,Main Office,9693 Louis H Lafontaine,NULL,Ville De'anjou,Quebec,Canada,J1G 2R3
29761,525,Main Office,69251 Creditview Road,NULL,Mississauga,Ontario,Canada,L5B 3V4
30048,526,Main Office,251420a 170th Street,NULL,Edmonton,Alberta,Canada,T5
29499,527,Main Office,252851 Rowan Place,NULL,Richmond,British Columbia,Canada,V6B 3P7
29755,528,Main Office,5990 Avebury Road,NULL,Mississauga,Ontario,Canada,L5B 3V4
29614,529,Main Office,254480 River Rd,NULL,Richmond,British Columbia,Canada,V6B 3P7
30016,531,Main Office,"5th Floor, 79 Place D'armes",NULL,Kingston,Ontario,Canada,7L
29785,533,Main Office,4400 March Road,NULL,Kanata,Ontario,Canada,K2L 1H5
30074,534,Main Office,Depot 80,NULL,Sillery,Quebec,Canada,G1T
30010,535,Main Office,250 Kingsbridge Garden Circle,NULL,Mississauga,Ontario,Canada,L5B 3V4
30007,536,Main Office,No. 2000-25080 Beaver Hall Hill,NULL,Quebec,Quebec,Canada,G1R
29494,537,Main Office,No. 25800-130 King Street West,NULL,Toronto,Ontario,Canada,M4B 1V5
29911,538,Main Office,25 Danger Street West,Floor 7,Toronto,Ontario,Canada,M4B 1V5
29855,539,Main Office,"6th Floor, 25st Canadian Place",NULL,Toronto,Ontario,Canada,M4B 1V5
29510,540,Main Office,254 Colonnade Road,NULL,Nepean,Ontario,Canada,K2J 2W5
29503,541,Main Office,25981 College Street,NULL,Montreal,Quebec,Canada,H1Y 2H5
30029,542,Main Office,5 place Ville-Marie,NULL,Montreal,Quebec,Canada,H1Y 2H7
29750,543,Main Office,6030 Conroy Road,NULL,Ottawa,Ontario,Canada,K4B 1S3
29649,544,Main Office,"30025 Wayburne Drive, Suite 275",NULL,Burnaby,British Columbia,Canada,V5G 4W1
30037,545,Main Office,999 West Georgia St.,NULL,Vancouver,Ontario,Canada,V5T 1Y9
29863,546,Main Office,"250333 Southport Road, S.W.",NULL,Calgary,Alberta,Canada,T2P 2G8
29840,547,Main Office,7000 Victoria Park Avenue,NULL,Toronto,Ontario,Canada,M4B 1V4
29969,548,Main Office,63 Free St.,NULL,Toronto,Ontario,Canada,M4B 1V4
29971,549,Main Office,609 Evans Avenue,NULL,Toronto,Ontario,Canada,M4B 1V4
30108,550,Main Office,2520 Flanders Road,NULL,Toronto,Ontario,Canada,M4B 1V4
29832,551,Main Office,"32605 West 252 Mile Road, Suite 250",NULL,Aurora,Ontario,Canada,L4G 7N6
29831,552,Main Office,"25730, boul. St-Régis",NULL,Dorval,Quebec,Canada,H9P 1H1
29830,553,Main Office,"253131 Lake Frasier Drive, Office No. 2",NULL,Calgary,Alberta,Canada,T2P 2G8
29983,554,Main Office,9984 Wellington Street,NULL,Ottawa,Ontario,Canada,K4B 1S2
29722,555,Main Office,"9950 Ferrand Drive, 9th Floor",NULL,Toronto,Ontario,Canada,M4B 1V4
29824,556,Main Office,990th Floor 700 De La GauchetiSre Ou,NULL,Montreal,Quebec,Canada,H1Y 2H3
29822,557,Main Office,"660 Saint-Jacques, Bureau 400",NULL,Montreal,Quebec,Canada,H1Y 2H8
29730,558,Main Office,"67255 - 8th Street N.E., Suite 350",NULL,Calgary,Alberta,Canada,T2P 2G8
29637,559,Main Office,12345 Sterling Avenue,NULL,Irving,Texas,United States,75061
29772,560,Main Office,800 Interchange Blvd.,Suite 2501,Austin,Texas,United States,78701
29956,561,Main Office,90025 Sterling St,NULL,Irving,Texas,United States,75061
29569,562,Main Office,2505 Gateway Drive,NULL,North Sioux City,South Dakota,United States,57049
29962,563,Main Office,74400 France Avenue South,NULL,Edina,Minnesota,United States,55436
29774,564,Main Office,509 Nafta Boulevard,NULL,Laredo,Texas,United States,78040
29967,565,Main Office,25149 Howard Dr,NULL,West Chicago,Illinois,United States,60185
29930,566,Main Office,63 W Monroe,NULL,Chicago,Illinois,United States,60610
29702,567,Main Office,Corporate Office,NULL,Garland,Texas,United States,75040
29708,569,Main Office,Sapp Road West,NULL,Round Rock,Texas,United States,78664
29920,570,Main Office,52500 Liberty Way,NULL,Fort Worth,Texas,United States,76102
29674,571,Main Office,25550 Executive Dr,NULL,Elgin,Illinois,United States,60120
29948,572,Main Office,P.O. Box 6256916,NULL,Dallas,Texas,United States,75201
29668,573,Main Office,25269 Wood Dale Rd.,NULL,Wood Dale,Illinois,United States,60191
29954,574,Main Office,Po Box 8259024,NULL,Dallas,Texas,United States,75201
29663,575,Main Office,42500 W 76th St,NULL,Chicago,Illinois,United States,60610
29583,576,Main Office,4255 East Lies Road,NULL,Carol Stream,Illinois,United States,60188
29574,577,Main Office,2500 North Stemmons Freeway,NULL,Dallas,Texas,United States,75201
29646,578,Main Office,220 Mercy Drive,NULL,Garland,Texas,United States,75040
29654,579,Main Office,25 N State St,NULL,Chicago,Illinois,United States,60610
29937,580,Main Office,2509 W. Frankford,NULL,Carrollton,Texas,United States,75006
29553,581,Main Office,Po Box 8035996,NULL,Dallas,Texas,United States,75201
29943,582,Main Office,5700 Legacy Dr,NULL,Plano,Texas,United States,75074
29884,583,Main Office,625 W Jackson Blvd. Unit 2502,NULL,Chicago,Illinois,United States,60610
29591,584,Main Office,250880 Baur Blvd,NULL,Saint Louis,Missouri,United States,63103
29593,585,Main Office,Noah Lane,NULL,Chicago,Illinois,United States,60610
29872,586,Main Office,6030 Robinson Road,NULL,Jefferson City,Missouri,United States,65101
30095,587,Main Office,25500 Old Spanish Trail,NULL,Houston,Texas,United States,77003
29866,588,Main Office,"99828 Routh Street, Suite 825",NULL,Dallas,Texas,United States,75201
30090,589,Main Office,"One Dancing, Rr No. 25",Box 8033,Round Rock,Texas,United States,78664
29782,590,Main Office,9995 West Central Entrance,NULL,Duluth,Minnesota,United States,55802
29535,591,Main Office,48255 I-10 E. @ Eastpoint Blvd.,NULL,Baytown,Texas,United States,77520
29570,592,Main Office,9903 Highway 6 South,NULL,Houston,Texas,United States,77003
29523,593,Main Office,2345 North Freeway,NULL,Houston,Texas,United States,77003
30023,594,Main Office,123 W. Lake Ave.,NULL,Peoria,Illinois,United States,61606
30118,595,Main Office,660 Lindbergh,NULL,Saint Louis,Missouri,United States,63103
30117,596,Main Office,72540 Blanco Rd.,NULL,San Antonio,Texas,United States,78204
29792,597,Main Office,99450 Highway 59 North,NULL,Humble,Texas,United States,77338
30111,598,Main Office,455 256th St.,NULL,Moline,Illinois,United States,61265
29524,599,Main Office,70 N.W. Plaza,NULL,Saint Ann,Missouri,United States,63074
29906,600,Main Office,25095 W. Florissant,NULL,Ferguson,Missouri,United States,63135
30055,601,Main Office,6996 South Lindbergh,NULL,Saint Louis,Missouri,United States,63103
29902,602,Main Office,6425 Nw Loop 410,NULL,San Antonio,Texas,United States,78204
30061,603,Main Office,9500b E. Central Texas Expressway,NULL,Killeen,Texas,United States,76541
29854,604,Main Office,1200 First Ave.,NULL,Joliet,Illinois,United States,60433
29659,605,Main Office,7760 N. Pan Am Expwy,NULL,San Antonio,Texas,United States,78204
29651,606,Main Office,99433 S. Greenbay Rd.,NULL,Racine,Wisconsin,United States,53182
29732,607,Main Office,25220 Airline Road,NULL,Corpus Christi,Texas,United States,78404
29616,608,Main Office,25306 Harvey Rd.,NULL,College Station,Texas,United States,77840
29769,609,Main Office,3900 S. 997th St.,NULL,Milwaukee,Wisconsin,United States,53202
29738,610,Main Office,44025 W. Empire,NULL,Denby,South Dakota,United States,57716
29764,611,Main Office,23025 S.W. Military Rd.,NULL,San Antonio,Texas,United States,78204
29743,612,Main Office,Ring Plaza,NULL,Norridge,Illinois,United States,60706
29758,613,Main Office,Lakeline Mall,NULL,Cedar Park,Texas,United States,78613
30046,614,Main Office,Town East Center,NULL,Mesquite,Texas,United States,75149
30008,617,Main Office,Johnson Creek,NULL,Johnson Creek,Wisconsin,United States,53038
29492,618,Main Office,Blue Ridge Mall,NULL,Kansas City,Missouri,United States,64106
29508,619,Main Office,First Colony Mall,NULL,Sugar Land,Texas,United States,77478
30003,620,Main Office,Horizon Outlet,NULL,Woodbury,Minnesota,United States,55125
29486,621,Main Office,Tanger Factory,NULL,Branch,Minnesota,United States,55056
29859,622,Main Office,Management Mall,NULL,San Antonio,Texas,United States,78204
29850,623,Main Office,Ohms Road,NULL,Houston,Texas,United States,77003
30032,624,Main Office,Factory Merchants,NULL,Branson,Missouri,United States,65616
29848,625,Main Office,Cedar Creek Stores,NULL,Mosinee,Wisconsin,United States,54455
30035,626,Main Office,Lone Star Factory,NULL,La Marque,Texas,United States,77568
30039,627,Main Office,Sports Stores @ Tuscola,NULL,Tuscola,Illinois,United States,61953
29861,628,Main Office,City Center,NULL,Minneapolis,Minnesota,United States,55402
29974,629,Main Office,St. Louis Marketplace,NULL,Saint Louis,Missouri,United States,63103
30106,630,Main Office,Lincoln Square,NULL,Arlington,Texas,United States,76010
29827,631,Main Office,Kansas City Factory Outlet,NULL,Odessa,Missouri,United States,64076
29819,633,Main Office,Medford Outlet Center,NULL,Medford,Minnesota,United States,55049
29635,634,Main Office,Ward Parkway Center,NULL,Kansas City,Missouri,United States,64106
29546,635,Main Office,"93-2501, Blackfriars Road,",NULL,London,England,United Kingdom,SE1 8HL
29776,636,Main Office,"Science Park South, Birchwood",Stanford House,Warrington,England,United Kingdom,WA3 7BH
29932,637,Main Office,"Phoenix Way, Cirencester",NULL,Gloucestershire,England,United Kingdom,GL7 1RY
29926,638,Main Office,255 Irving Street,NULL,London,England,United Kingdom,C2H 7AU
29922,639,Main Office,"Garamonde Drive, Wymbush",PO Box 4023,Milton Keynes,England,United Kingdom,MK8 8ZD
30072,640,Main Office,251 The Metro Center,NULL,Wokingham,England,United Kingdom,RG41 1QW
29952,641,Main Office,Bradford,NULL,W. York,England,United Kingdom,BD1 4SJ
29796,642,Main Office,Galashiels,NULL,Liverpool,England,United Kingdom,L4 4HB
29644,643,Main Office,Banbury,NULL,Oxon,England,United Kingdom,OX16 8RS
29713,644,Main Office,Bradford,"Raven House, Kingsgate",W. York,England,United Kingdom,BD1 4SJ
29941,645,Main Office,"Garamonde Drive, Wymbush",P.O. Box 803,Milton Keynes,England,United Kingdom,MK8 8ZD
29990,646,Main Office,"Butterfield Hse, 7-251 Chapel St",NULL,Lancaster,England,United Kingdom,LA1 1LN
29874,647,Main Office,Wade Road,NULL,Basingstoke Hants,England,United Kingdom,RG24 8PL
29868,648,Main Office,"586 Fulham Road,",NULL,London,England,United Kingdom,SW6 SBY
29612,649,Main Office,Knaves Beech Ind.,NULL,High Wycombe,England,United Kingdom,HP10 9QY
29778,650,Main Office,"Elmhurst Road, Goring",NULL,Reading,England,United Kingdom,RG7 5H7
30025,651,Main Office,"New Millhouse, 2583 Milton Park",NULL,Abingdon,England,United Kingdom,OX14 4SE
30019,652,Main Office,Wymbush,NULL,Milton Keynes,England,United Kingdom,MK8 8DF
30113,653,Main Office,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD
29908,654,Main Office,308-3250 Casting Road,NULL,York,England,United Kingdom,Y024 1GF
29904,655,Main Office,Wharfdale Road,NULL,Berkshire,England,United Kingdom,RG11 5TP
29851,657,Main Office,Unit 99a Battery Retail Pk,NULL,Birmingham,England,United Kingdom,B29 6SL
29618,658,Main Office,Ellesfield Ave,NULL,Bracknell,England,United Kingdom,RG12 8TB
29736,659,Main Office,Warrington Ldc Unit 25/2,NULL,Woolston,England,United Kingdom,WA1 4SY
29741,660,Main Office,"6 The Farm, Liberty Road",NULL,Maidenhead,England,United Kingdom,SL67RJ
30044,661,Main Office,725a The Arches,NULL,Berks,England,United Kingdom,SL4 1RH
